id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,24.68,10333493913,15,11239578603,573907347.0,24.71,22.88,1.56,6.76653,688813356.0,7.1419,418198970.4696879,454868434.6427571,720000000.0,144.96,-82.95299,2021-11-21T14:18:56.538Z,2.8,782.21992,2020-12-31T13:15:21.540Z,,2025-05-10T15:11:47.363Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2927.65,10088128920,16,10088128920,35488301.0,2928.56,2746.1,147.69,5.31252,554545366.0,5.81676,3445842.562142345,3445842.562142345,,7256.02,-59.6525,2022-05-13T15:09:54.509Z,558.54,424.15632,2022-05-13T01:36:45.053Z,,2025-05-10T15:11:46.162Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.305151,9476903313,17,15270377652,266782176.0,0.305598,0.293687,0.00836807,2.8196,291752684.0,3.17635,31031459119.58337,50001786892.81785,50001786892.81785,0.875563,-65.10032,2018-01-03T00:00:00.000Z,0.00047612,64078.46543,2015-03-05T00:00:00.000Z,,2025-05-10T15:11:48.060Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.581e-05,9322306620,18,9326331341,535967932.0,1.605e-05,1.479e-05,8.00411e-07,5.33402,475110087.0,5.37018,589249916266819.9,589504313244263.0,,8.616e-05,-81.60919,2021-10-28T03:54:55.568Z,5.6366e-11,28111152.20178,2020-11-28T11:26:25.838Z,,2025-05-10T15:11:44.833Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.209113,8836748951,19,10460455413,280155736.0,0.210605,0.197244,0.00907193,4.53504,394343196.0,4.67098,42238834745.80377,50000000000.0,50000000000.0,0.569229,-63.24888,2021-09-15T10:40:28.318Z,0.00986111,2021.44495,2020-01-02T17:30:24.852Z,,2025-05-10T15:11:47.608Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,25.14,8400693616,20,25156945106,165752993.0,25.68,24.31,0.04045836,0.16119,60220603.0,0.72203,333928180.0,999990391.0,1000000000.0,34.96,-28.08474,2024-12-22T03:56:00.276Z,3.81,560.08926,2024-11-29T09:30:30.871Z,,2025-05-10T15:11:48.552Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,3.36,8379302049,21,17261702144,229615108.0,3.42,3.23,0.096075,2.94686,285182717.0,3.52333,2489971852.396864,5129443026.508181,,8.25,-59.26353,2024-06-15T00:36:51.509Z,0.519364,547.37432,2021-09-21T00:33:11.092Z,,2025-05-10T15:11:50.801Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,420.53,8359226150,22,8359237983,233819161.0,423.12,405.2,12.71,3.11551,267193533.0,3.30193,19867728.02165078,19867756.14665078,21000000.0,3785.82,-88.87515,2017-12-20T00:00:00.000Z,76.93,447.43349,2018-12-16T00:00:00.000Z,,2025-05-10T15:11:48.501Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999971,8014987071,23,8014987071,10672966.0,1.0,0.999876,-2.8871589875967e-05,-0.00289,96659382.0,1.2207,8015217609.616517,8015217609.616517,,1.057,-5.4242,2024-10-29T05:40:51.197Z,0.948265,5.45267,2024-10-03T13:19:28.826Z,,2025-05-10T15:11:47.927Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,8.67,8002361074,24,8537530977,7025715.0,8.8,8.66,-0.05996744943840149,-0.6868,-61917569.20650101,-0.7678,923480368.9,985239504.0,,10.14,-14.51968,2025-03-10T09:26:43.294Z,0.799859,983.13113,2019-12-24T15:14:35.376Z,,2025-05-10T15:11:50.147Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,5.1,7761140663,25,7761140663,447746328.0,5.19,4.68,0.396111,8.42359,636954626.0,8.94074,1522267060.0,1522267060.0,,54.98,-90.7331,2021-11-04T14:10:09.301Z,2.7,88.88257,2020-08-20T05:48:11.359Z,,2025-05-10T15:11:47.868Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,102.16,7751909619,26,7752216920,741758102.0,105.99,98.02,3.68,3.74017,290127015.0,3.88817,75835058.23347135,75838064.48347135,84000000.0,410.26,-75.08666,2021-05-10T03:13:07.904Z,1.15,8796.73267,2015-01-14T00:00:00.000Z,,2025-05-10T15:11:48.065Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,2433.12,6635555737,27,6635555737,711610630.0,2439.85,2284.84,116.11,5.01103,465823762.0,7.55015,2722839.223654321,2722839.223654321,,4799.89,-49.24588,2021-11-09T00:00:00.000Z,82.1,2867.16476,2018-12-15T00:00:00.000Z,,2025-05-10T15:11:47.134Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,330.71,6094071392,28,6094071392,112072675.0,331.37,299.87,30.75,10.25061,539477617.0,9.71228,18446744.07370955,18446744.07370955,,542.33,-38.9587,2018-01-09T00:00:00.000Z,0.216177,153035.1963,2015-01-14T00:00:00.000Z,,2025-05-10T15:11:47.038Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2599.11,5759789239,29,5759789239,38097409.0,2600.57,2442.64,130.47,5.28522,344237551.0,6.35646,2214970.234291565,2214970.234291565,,4311.81,-39.69756,2024-12-06T20:32:25.758Z,1505.24,72.73891,2025-04-09T03:45:31.391Z,,2025-05-10T15:11:46.773Z
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.87,5695514918,30,5695514918,326119160.0,4.93,4.42,0.38509,8.59243,452734462.0,8.63539,1169993089.2,1169993089.2,2000000000.0,8.45,-42.27887,2024-12-27T11:41:24.992Z,0.0142795,34058.2119,2020-06-25T04:17:05.895Z,,2025-05-10T15:11:51.192Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,1.293e-05,5441027655,31,5441027655,2374944901.0,1.342e-05,1.205e-05,4.41386e-07,3.53418,211701743.0,4.04836,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-53.85878,2024-12-09T16:30:35.828Z,5.5142e-08,23353.00152,2023-04-18T02:14:41.591Z,,2025-05-10T15:11:44.309Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,1.002,5194122800,32,5194122800,673426809.0,1.008,0.991343,0.00277301,0.27739,23852593.0,0.46134,5184993899.591616,5184993899.591616,,1.05,-4.59079,2024-08-05T14:21:42.527Z,0.942186,6.32292,2024-12-05T22:30:39.827Z,,2025-05-10T15:11:43.763Z
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.727411,5143255151,33,7912700233,234640079.0,0.747377,0.706517,-0.011878032667685057,-1.60668,-48229056.09041214,-0.929,7070452919.063951,10877619875.483,100000000000.0,2.99,-75.51823,2025-02-26T16:41:03.732Z,0.406999,79.71064,2025-04-05T04:50:37.033Z,,2025-05-10T15:11:47.472Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,103451.0,4733795378,34,4733795378,337182150.0,104015.0,102428.0,317.7,0.30805,90886915.0,1.95754,45670.57407378,45670.57407378,,108953.0,-5.00831,2025-01-20T09:20:53.854Z,57439.0,80.18518,2024-09-12T14:07:41.775Z,,2025-05-10T15:11:47.055Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,1.0,4661144935,35,4661144935,193946082.0,1.001,0.999343,0.00040206,0.04021,11107541.0,0.23887,4658890350.444489,4658890350.444489,,1.032,-3.0557,2023-12-20T15:38:34.596Z,0.929486,7.64496,2024-10-04T07:57:15.809Z,,2025-05-10T15:11:50.829Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,30.25,4359095805,36,9868557420,15231960.0,30.42,30.22,-0.0567959462732297,-0.18739,-10549566.23551941,-0.24143,144118517.10815412,326269925.0,400000000.0,31.28,-3.29104,2025-03-02T22:22:36.852Z,3.06,887.88974,2023-02-13T19:01:21.899Z,,2025-05-10T15:11:44.685Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,6.7,4023712638,37,6700792769,368857774.0,6.73,6.21,0.433463,6.92122,281914145.0,7.53419,600483073.71,1000000000.0,1000000000.0,44.92,-85.07645,2021-05-03T05:25:04.822Z,1.03,550.70449,2020-09-17T01:20:38.214Z,,2025-05-10T15:11:50.071Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,445.12,3900525431,38,9345261945,176247759.0,453.97,420.38,15.44,3.59291,130568629.0,3.4634,8764980.0,21000000.0,21000000.0,757.6,-41.24267,2024-03-07T18:45:36.466Z,30.83,1343.88227,2023-05-14T08:57:53.732Z,,2025-05-10T15:11:46.890Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2.99,3630615644,39,3745067711,234108411.0,3.02,2.86,0.098158,3.39276,136251390.0,3.89918,1211227899.0,1249410827.0,,20.44,-85.33036,2022-01-16T22:09:45.873Z,0.526762,469.17476,2020-11-04T16:09:15.137Z,,2025-05-10T15:11:47.852Z
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,5.76,3577707694,40,6635511679,235503907.0,5.84,5.47,0.177771,3.18723,115959013.0,3.34972,620939249.9369007,1151645130.729492,,19.92,-71.08072,2023-01-26T14:25:17.390Z,3.08,87.05255,2022-12-29T21:35:14.796Z,,2025-05-10T15:11:49.618Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.0,3473009187,41,3473009187,110332210.0,1.001,0.999604,1.309e-05,0.00131,27912384.0,0.81021,3472459136.238109,3472459136.238109,,1.22,-17.94682,2020-03-13T03:02:50.373Z,0.88196,13.40327,2023-03-11T07:50:50.514Z,,2025-05-10T15:11:43.723Z
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,221.17,3345941720,42,3541988668,375803809.0,222.25,206.63,13.34,6.41786,217011261.0,6.93564,15114409.598012164,16000000.0,16000000.0,661.69,-66.54531,2021-05-18T21:19:59.514Z,26.02,750.65174,2020-11-05T09:20:11.928Z,,2025-05-10T15:11:44.441Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,54.48,3268812245,43,12855022851,13757933.0,55.65,53.2,1.13,2.11241,76323850.0,2.39073,60000000.0,235957685.3,300000000.0,73.8,-26.12008,2024-03-14T00:30:12.502Z,0.580608,9291.16445,2019-01-14T00:00:00.000Z,,2025-05-10T15:11:43.180Z
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,1.031,3260113249,44,10319728656,250217657.0,1.045,0.999565,0.01348885,1.3255,43211423.0,1.34326,3159107529.0,10000000000.0,10000000000.0,2.14,-51.78344,2024-12-16T00:36:00.777Z,0.082171,1155.80781,2024-01-18T12:14:30.524Z,,2025-05-10T15:11:49.604Z
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.051,3043346959,45,3043346959,27300065.0,1.051,1.051,0.00026003,0.02475,60128739.0,2.01557,2895702820.025655,2895702820.025655,,1.088,-3.39944,2025-02-03T02:31:35.208Z,0.961716,9.27668,2025-01-04T01:21:08.460Z,,2025-05-10T15:11:44.850Z
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,19.57,2975831747,46,2975831747,133818267.0,19.67,18.93,0.546888,2.87422,89916114.0,3.11569,151858235.1949325,151858235.1949325,210700000.0,167.09,-88.23285,2021-05-06T18:34:22.133Z,0.615038,3096.74358,2016-07-25T00:00:00.000Z,"{'times': 42.49827828715442, 'currency': 'usd', 'percentage': 4249.827828715443}",2025-05-10T15:11:47.540Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,5.49,2924526016,47,2924537793,79899529.0,5.59,5.32,0.148234,2.77637,84463873.0,2.97401,532788855.7817992,532791001.3567717,,700.65,-99.21529,2021-05-10T16:05:53.653Z,2.87,91.90224,2023-09-22T00:29:57.369Z,,2025-05-10T15:11:46.620Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2916749617,48,2916749617,0.0,1.0,1.0,0.0,0.0,43303312.0,1.50702,2916749617.18,2916749617.18,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2025-05-10T15:10:09.668Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.099934,2871946565,49,9794019374,32598481.0,0.102934,0.100033,-0.001430106914133783,-1.41087,-14061214.934162617,-0.48722,28641695727.3145,97674979848.54776,100000000000.0,0.965407,-89.61334,2021-11-24T15:53:54.855Z,0.0121196,727.36669,2019-02-08T00:00:00.000Z,,2025-05-10T15:11:44.959Z
official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,14.21,2841209541,50,14206049420,1916006638.0,15.1,13.76,0.07038,0.49788,23122270.0,0.8205,199999975.836,1000000000.0,1000000000.0,73.43,-80.80802,2025-01-19T11:50:34.806Z,4.29,228.45167,2025-01-18T03:40:29.231Z,,2025-05-10T15:11:50.088Z
tokenize-xchange,tkx,Tokenize Xchange,https://coin-images.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,34.61,2767912591,51,3460063784,22073414.0,34.86,33.36,1.15,3.433,89311297.0,3.33425,79995999.05112354,100000000.0,100000000.0,50.43,-31.41576,2025-01-03T19:12:43.038Z,0.111255,30988.98158,2019-04-28T00:00:00.000Z,"{'times': 118.13290758080812, 'currency': 'usd', 'percentage': 11813.290758080813}",2025-05-10T15:11:42.823Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.105264,2751777702,52,2751801435,77168929.0,0.106471,0.101238,0.00226483,2.19889,69165766.0,2.5783,26148923858.78262,26149149380.78283,28704026601.0,0.207411,-49.26276,2024-08-01T00:40:47.164Z,0.00017105,61422.883,2022-05-26T14:42:59.316Z,,2025-05-10T15:11:47.343Z
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,22.13,2718268522,53,6634746212,10064006.0,22.55,21.82,0.239248,1.09316,30724523.0,1.14322,122910587.76765741,300000000.0,,25.94,-14.72032,2025-01-25T03:07:37.823Z,0.25754,8489.35942,2020-03-13T02:18:02.481Z,,2025-05-10T15:11:47.665Z
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,5.18,2684875193,54,2761421364,314448955.0,5.19,4.86,0.260943,5.30832,141287522.0,5.55466,517716590.0562826,532476763.3362826,,13.53,-61.67097,2024-03-17T16:30:24.636Z,0.03665669,14052.16773,2020-06-16T13:22:25.900Z,,2025-05-10T15:11:43.047Z
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.03073844,2644725662,55,2644725662,67488524.0,0.0310545,0.02921583,0.00132099,4.4905,121285828.0,4.80637,85985041177.0,85985041177.0,86712634466.0,0.280991,-89.03739,2021-04-19T01:08:21.675Z,0.00191713,1506.7724,2020-03-13T02:29:59.652Z,"{'times': 3.420330858133316, 'currency': 'eth', 'percentage': 342.0330858133316}",2025-05-10T15:11:47.257Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,0.770814,2593468752,56,4793779740,283460783.0,0.776592,0.761601,0.00542437,0.70871,17922725.0,0.69588,3364694382.83684,6219316794.99,6219316794.99,1.54,-49.90679,2024-04-08T09:45:25.482Z,0.307978,150.27503,2023-10-18T02:50:46.942Z,,2025-05-10T15:11:50.469Z
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,5.07,2277231819,57,2277231819,145348305.0,5.08,4.88,0.12908,2.61375,60658207.0,2.73658,448811869.643087,448811869.643087,,44.45,-88.56328,2022-01-17T00:34:41.497Z,1.16,338.20163,2020-03-13T02:27:44.591Z,"{'times': 49.67575218244981, 'currency': 'usd', 'percentage': 4967.575218244981}",2025-05-10T15:11:46.649Z
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.257623,2268147309,58,2688376798,117825964.0,0.262442,0.250304,0.0042377,1.67243,44798510.0,2.01491,8791235729.74976,10420026100.80222,,1.29,-79.95863,2024-03-13T18:55:06.692Z,0.153392,68.2258,2025-04-07T07:06:08.017Z,,2025-05-10T15:11:50.868Z
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.852125,2224991689,59,2318549377,206414245.0,0.871755,0.820756,0.00891164,1.05687,17817262.0,0.80724,2604959126.672,2714493896.672,2714493896.672,3.45,-75.25192,2024-03-28T17:21:18.050Z,0.00816959,10363.62137,2020-03-13T02:24:18.347Z,"{'times': 8.828435578938116, 'currency': 'usd', 'percentage': 882.8435578938116}",2025-05-10T15:11:45.404Z
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.380746,2214555285,60,5707310264,319988159.0,0.387366,0.362516,0.00746843,2.00077,44281871.0,2.04038,5820312500.0,15000000000.0,,1.52,-74.93009,2024-04-11T13:15:15.057Z,0.195078,95.04332,2024-09-06T21:04:48.253Z,,2025-05-10T15:11:42.853Z
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/30Q2SFVH_400x400.jpg?1742998328,1.002,2131620085,61,2131620085,17716400.0,1.008,0.995869,-1.1023072205241e-05,-0.0011,5446105.0,0.25615,2127980480.0,2127980480.0,,1.017,-1.63262,2025-04-12T16:05:19.898Z,0.989703,1.12292,2025-04-16T00:36:15.580Z,,2025-05-10T15:11:44.518Z
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,102967.0,2088402033,62,2088402033,42290540.0,104784.0,101762.0,120.72,0.11738,-9910483.543521643,-0.47231,20231.02291467974,20231.02291467974,,114576.0,-9.94831,2025-02-04T01:47:44.052Z,52119.0,97.96355,2024-09-06T21:01:52.094Z,,2025-05-10T15:11:44.265Z
algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.23982,2062392038,63,2062424909,88370233.0,0.240136,0.230531,0.00582878,2.49103,58302117.0,2.90916,8598325029.937284,8598462072.386103,10000000000.0,3.56,-93.26303,2019-06-20T14:51:19.480Z,0.087513,174.14504,2023-09-11T19:42:08.247Z,"{'times': -0.9000750185068849, 'currency': 'usd', 'percentage': -90.0075018506885}",2025-05-10T15:11:47.628Z
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,3.06,2036248042,64,6002740396,169971399.0,3.09,2.99,0.0403984,1.33907,36726887.0,1.83678,664699533.0,1959495433.0,1959495433.0,236.84,-98.70653,2021-04-01T13:29:41.564Z,2.14,42.85606,2025-04-07T07:06:32.125Z,,2025-05-10T15:11:47.258Z
ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1.17,2024592934,65,2024592934,30953618.0,1.17,1.17,-0.000232427084213782,-0.01985,-27871014.97616172,-1.35793,1729006549.415199,1729006549.415199,,1.29,-9.29879,2025-01-29T17:52:32.991Z,1.012,15.66866,2024-04-03T14:23:03.162Z,,2025-05-10T15:11:44.817Z
celestia,tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,3.18,2002768544,66,3562247762,238063840.0,3.25,2.85,0.282035,9.74216,187761074.0,10.34492,630195091.078137,1120903890.410595,,20.85,-84.76081,2024-02-10T14:30:02.495Z,2.08,52.50797,2023-10-31T15:14:31.951Z,,2025-05-10T15:11:47.676Z
